BondID,State,CreditRating,Sector,Coupon,IssueDate,MaturityDate,Price,Yield,Duration
BOND0073,IL,AA,Public Safety,3.27,2022-04-01,2034-04-01,93.69,3.23,6.74
BOND0074,NY,A,Healthcare,4.61,2012-05-01,2018-05-01,93.9,4.94,6.99
BOND0075,IL,A,Utilities,4.63,2016-10-01,2023-10-01,103.78,4.96,9.25
BOND0076,TX,A,Public Safety,5.17,2014-05-01,2028-05-01,109.62,4.93,3.87
BOND0077,TX,AA,Education,4.47,2014-02-01,2020-02-01,104.06,1.74,8.48
BOND0078,CA,AA,Public Safety,3.63,2014-03-01,2034-03-01,99.72,2.13,3.7
BOND0079,TX,A,Utilities,3.46,2019-09-01,2035-09-01,104.42,3.81,4.65
BOND0080,IL,A,Healthcare,4.24,2010-06-01,2018-06-01,102.18,4.19,3.93
BOND0081,NY,A,Education,4.03,2011-12-01,2017-12-01,97.28,4.57,4.44
BOND0082,FL,AAA,Public Safety,3.33,2017-02-01,2030-02-01,91.81,1.85,4.37
BOND0083,FL,AA,Public Safety,2.35,2018-07-01,2035-07-01,91.74,2.64,4.62
BOND0084,NY,A,Utilities,4.96,2022-10-01,2035-10-01,104.38,4.46,8.04
BOND0085,CA,A,Education,3.95,2022-11-01,2030-11-01,107.06,4.53,8.94
BOND0086,NY,AA,Utilities,2.75,2018-06-01,2037-06-01,99.47,1.54,6.5
BOND0087,NY,AA,Education,4.63,2020-11-01,2026-11-01,93.73,2.0,7.63
BOND0088,CA,AA,Utilities,2.95,2022-07-01,2028-07-01,101.66,3.04,4.75
BOND0089,IL,AA,Healthcare,4.62,2014-12-01,2020-12-01,95.0,1.97,5.69
BOND0090,IL,AA,Healthcare,5.38,2016-05-01,2028-05-01,92.17,2.23,3.9
BOND0091,FL,AA,Transportation,2.22,2010-04-01,2030-04-01,103.95,2.72,9.66
BOND0092,IL,AA,Utilities,5.09,2014-01-01,2027-01-01,95.31,2.19,3.61
BOND0093,NY,AA,Education,4.73,2021-07-01,2041-07-01,106.44,1.97,9.33
BOND0094,FL,A,Transportation,3.71,2016-05-01,2036-05-01,108.12,4.2,6.68
BOND0095,TX,A,Healthcare,3.39,2022-07-01,2029-07-01,95.85,4.88,5.47
BOND0096,IL,AA,Utilities,5.34,2011-12-01,2017-12-01,98.28,2.12,5.49
BOND0097,TX,AA,Healthcare,5.26,2021-12-01,2028-12-01,108.17,2.56,6.82
BOND0098,CA,AA,Education,4.6,2021-04-01,2038-04-01,100.51,2.8,6.05
BOND0099,IL,AA,Transportation,4.32,2012-01-01,2026-01-01,98.14,2.91,6.26
BOND0100,CA,A,Healthcare,4.62,2020-11-01,2027-11-01,99.99,3.69,6.99
BOND0101,FL,AA,Utilities,3.28,2015-05-01,2035-05-01,99.54,1.78,6.83
BOND0102,IL,AAA,Education,4.41,2016-10-01,2026-10-01,109.15,1.76,4.41
BOND0103,FL,AA,Education,3.21,2012-04-01,2017-04-01,107.26,2.55,3.31
BOND0104,CA,AA,Transportation,5.41,2013-07-01,2023-07-01,96.96,2.84,8.1
BOND0105,TX,A,Healthcare,5.34,2015-05-01,2024-05-01,93.77,4.92,8.31
BOND0106,CA,AA,Utilities,2.64,2018-02-01,2024-02-01,101.92,1.59,5.39
BOND0107,IL,A,Education,3.49,2012-06-01,2030-06-01,107.68,4.31,6.47
BOND0108,CA,AA,Education,4.2,2021-10-01,2040-10-01,98.08,3.44,3.93
BOND0109,CA,AA,Utilities,3.27,2022-08-01,2035-08-01,91.38,2.64,8.97
BOND0110,IL,A,Education,3.89,2010-04-01,2026-04-01,90.04,3.64,5.31
BOND0111,IL,A,Education,5.39,2011-11-01,2026-11-01,100.61,3.94,6.22
BOND0112,IL,AA,Utilities,4.88,2010-09-01,2019-09-01,90.39,2.86,5.06
BOND0113,CA,AA,Utilities,3.56,2019-04-01,2037-04-01,100.93,2.59,9.74
BOND0114,TX,AA,Utilities,4.46,2022-10-01,2039-10-01,96.19,2.35,9.86
BOND0115,TX,AA,Public Safety,4.01,2013-01-01,2032-01-01,105.47,3.23,8.35
BOND0116,NY,A,Education,4.18,2011-05-01,2018-05-01,97.55,4.26,5.2
BOND0117,FL,AA,Healthcare,3.73,2018-12-01,2037-12-01,94.68,1.53,8.04
BOND0118,FL,A,Education,4.87,2012-02-01,2032-02-01,109.57,3.88,3.24
BOND0119,IL,AA,Transportation,4.54,2020-03-01,2040-03-01,103.43,3.21,6.99
BOND0120,TX,A,Transportation,5.11,2015-12-01,2022-12-01,109.1,4.19,6.25
BOND0121,TX,AA,Public Safety,3.15,2019-01-01,2036-01-01,107.07,2.74,3.17
BOND0122,CA,AA,Transportation,4.23,2010-07-01,2028-07-01,99.46,2.35,3.16
BOND0123,FL,AA,Transportation,2.75,2013-11-01,2031-11-01,97.52,3.19,7.06
BOND0124,CA,A,Education,2.75,2021-09-01,2030-09-01,93.6,4.2,7.8
BOND0125,FL,AA,Utilities,4.14,2019-03-01,2037-03-01,102.35,3.07,8.97
BOND0126,TX,AA,Public Safety,5.21,2018-12-01,2031-12-01,104.2,2.95,7.1
BOND0127,NY,A,Education,2.6,2021-04-01,2030-04-01,95.94,4.15,4.2
BOND0128,FL,AA,Education,5.38,2012-05-01,2022-05-01,109.86,2.76,7.04
BOND0129,FL,A,Public Safety,4.78,2018-12-01,2037-12-01,109.67,4.64,4.64
BOND0130,TX,AA,Transportation,3.4,2012-12-01,2028-12-01,105.46,2.8,4.16
BOND0131,NY,A,Healthcare,4.73,2018-04-01,2027-04-01,90.27,4.17,9.22
BOND0132,IL,AA,Public Safety,4.37,2016-03-01,2029-03-01,90.28,2.21,9.77
BOND0133,IL,AA,Utilities,4.31,2016-06-01,2031-06-01,92.2,2.02,4.45
BOND0134,NY,A,Education,4.92,2016-03-01,2027-03-01,104.76,3.75,8.96
BOND0135,NY,A,Utilities,3.62,2020-04-01,2036-04-01,90.18,3.5,9.88
BOND0136,CA,AA,Education,4.8,2018-06-01,2023-06-01,101.35,1.69,9.17
BOND0137,NY,AA,Healthcare,3.94,2019-10-01,2038-10-01,97.0,2.93,5.94
BOND0138,TX,AA,Public Safety,5.24,2012-08-01,2030-08-01,104.14,2.43,7.06
BOND0139,CA,A,Healthcare,3.54,2011-04-01,2027-04-01,100.35,4.89,3.05
BOND0140,TX,AA,Utilities,4.83,2010-09-01,2018-09-01,105.02,1.87,9.33
BOND0141,FL,AA,Transportation,3.8,2022-09-01,2030-09-01,109.17,3.03,5.94
BOND0142,IL,A,Education,3.26,2016-07-01,2023-07-01,108.94,4.93,6.47
BOND0143,TX,AA,Transportation,3.07,2014-09-01,2027-09-01,103.08,3.03,9.46
BOND0144,NY,AA,Transportation,4.39,2017-08-01,2033-08-01,105.96,2.21,7.2
BOND0145,FL,AA,Public Safety,3.68,2019-02-01,2024-02-01,108.6,1.98,5.81
BOND0146,FL,AA,Education,5.16,2021-01-01,2041-01-01,97.85,2.68,9.85
BOND0147,TX,AA,Transportation,3.77,2014-06-01,2020-06-01,103.3,1.66,5.08
BOND0148,NY,A,Transportation,2.78,2011-01-01,2028-01-01,91.21,4.11,7.21
BOND0149,NY,A,Transportation,3.47,2021-03-01,2028-03-01,90.17,4.37,5.74
BOND0150,FL,A,Education,3.41,2013-10-01,2022-10-01,103.91,3.87,7.72
BOND0151,NY,A,Education,3.12,2014-01-01,2023-01-01,104.37,4.61,5.97
BOND0152,CA,AA,Transportation,5.25,2017-03-01,2030-03-01,92.72,2.39,5.65
BOND0153,CA,AA,Transportation,3.74,2014-01-01,2028-01-01,94.48,2.17,7.79
BOND0154,CA,A,Healthcare,2.72,2021-06-01,2038-06-01,96.82,4.31,3.94
BOND0155,TX,A,Utilities,4.73,2018-03-01,2027-03-01,101.19,4.5,3.72
BOND0156,NY,AA,Healthcare,3.51,2020-06-01,2037-06-01,98.98,2.47,9.63
BOND0157,CA,AA,Education,5.07,2014-06-01,2030-06-01,106.07,2.16,7.67
BOND0158,FL,AA,Education,5.46,2015-12-01,2030-12-01,100.17,2.66,6.01
BOND0159,CA,A,Utilities,2.58,2012-10-01,2021-10-01,105.11,3.86,3.46
BOND0160,NY,AA,Transportation,3.1,2016-09-01,2036-09-01,101.36,2.85,3.53
BOND0161,IL,AA,Transportation,2.02,2010-04-01,2015-04-01,93.71,2.32,9.5
BOND0162,TX,AA,Public Safety,3.44,2016-02-01,2027-02-01,98.82,1.71,9.59
BOND0163,IL,A,Healthcare,3.31,2018-07-01,2038-07-01,101.27,4.78,4.3
BOND0164,CA,AA,Education,2.07,2017-01-01,2034-01-01,99.49,3.06,5.04
BOND0165,NY,AA,Public Safety,5.44,2012-04-01,2026-04-01,108.4,2.09,7.31
BOND0166,TX,AA,Education,4.79,2019-05-01,2036-05-01,94.87,3.1,8.09
BOND0167,TX,AA,Healthcare,3.26,2022-03-01,2033-03-01,98.72,2.76,4.78
BOND0168,IL,AA,Utilities,3.68,2016-03-01,2036-03-01,101.7,3.28,6.33
BOND0169,TX,AA,Education,5.41,2019-04-01,2036-04-01,91.1,2.06,5.26
BOND0170,IL,AA,Education,3.73,2017-08-01,2034-08-01,91.17,3.11,8.61
BOND0171,CA,A,Transportation,2.45,2014-09-01,2019-09-01,99.47,3.57,4.02
BOND0172,TX,AA,Utilities,4.31,2010-12-01,2026-12-01,102.39,3.23,6.23
BOND0173,IL,AA,Utilities,4.78,2011-01-01,2031-01-01,90.39,1.52,5.56
BOND0174,CA,A,Transportation,3.43,2016-08-01,2033-08-01,102.73,4.49,8.01
BOND0175,TX,A,Healthcare,4.71,2022-08-01,2038-08-01,103.3,3.79,3.65
BOND0176,NY,A,Utilities,2.02,2017-03-01,2025-03-01,107.42,4.55,9.42
BOND0177,TX,AA,Public Safety,4.01,2022-12-01,2035-12-01,103.2,2.07,4.45
BOND0178,FL,A,Education,3.79,2014-04-01,2022-04-01,109.35,4.63,9.38
BOND0179,NY,AA,Utilities,2.99,2022-11-01,2040-11-01,97.81,2.34,3.92
BOND0180,TX,AA,Healthcare,2.57,2010-03-01,2026-03-01,101.94,1.76,8.16
BOND0181,NY,AA,Healthcare,2.92,2012-04-01,2032-04-01,97.65,1.82,8.74
BOND0182,TX,AA,Education,5.14,2015-09-01,2035-09-01,101.42,2.82,9.23
BOND0183,NY,AA,Education,2.43,2012-07-01,2022-07-01,91.84,3.31,4.67
BOND0184,TX,AA,Public Safety,2.15,2020-10-01,2039-10-01,107.72,2.98,3.21
BOND0185,TX,A,Public Safety,5.22,2019-08-01,2027-08-01,92.85,3.74,4.06
BOND0186,TX,AA,Utilities,3.77,2013-07-01,2028-07-01,91.62,3.04,3.44
BOND0187,TX,AA,Transportation,4.69,2022-08-01,2039-08-01,105.36,1.63,7.94
BOND0188,CA,AA,Utilities,5.41,2020-07-01,2033-07-01,94.76,2.2,7.33
BOND0189,FL,A,Healthcare,2.11,2018-04-01,2025-04-01,105.46,4.66,3.38
BOND0190,TX,A,Utilities,5.43,2022-02-01,2041-02-01,109.99,4.59,6.22
BOND0191,FL,AA,Utilities,3.31,2015-11-01,2022-11-01,108.22,1.53,6.0
BOND0192,TX,AA,Education,2.08,2017-04-01,2035-04-01,97.53,3.14,7.39
BOND0193,FL,AA,Education,4.07,2010-02-01,2018-02-01,101.83,2.09,4.06
BOND0194,CA,A,Education,2.42,2017-02-01,2025-02-01,96.82,4.77,3.57
BOND0195,CA,A,Healthcare,5.35,2019-11-01,2026-11-01,92.25,4.82,8.96
BOND0196,CA,A,Public Safety,4.15,2020-12-01,2036-12-01,102.04,4.66,9.67
BOND0197,TX,AA,Transportation,2.07,2022-11-01,2028-11-01,95.95,1.89,9.07
BOND0198,IL,AA,Education,2.0,2018-11-01,2028-11-01,106.06,2.26,3.89
BOND0199,IL,A,Transportation,3.79,2014-06-01,2019-06-01,105.64,4.5,6.77
BOND0200,NY,AA,Healthcare,2.23,2020-12-01,2028-12-01,99.34,2.98,6.52
BOND0201,TX,AA,Public Safety,2.2,2017-08-01,2029-08-01,103.62,3.41,6.55
BOND0202,FL,AA,Public Safety,4.38,2014-07-01,2023-07-01,93.0,1.78,6.7
BOND0203,CA,A,Transportation,5.2,2019-10-01,2035-10-01,104.28,3.78,6.9
BOND0204,IL,AA,Healthcare,2.1,2011-05-01,2018-05-01,100.41,2.34,4.58
BOND0205,NY,AA,Healthcare,4.77,2019-12-01,2025-12-01,104.01,3.16,8.02
BOND0206,CA,AA,Education,4.8,2020-03-01,2038-03-01,91.91,2.88,5.19
BOND0207,CA,AA,Public Safety,5.45,2022-11-01,2030-11-01,101.55,3.14,3.96
BOND0208,CA,A,Education,4.22,2020-06-01,2030-06-01,96.12,3.94,7.09
BOND0209,NY,AA,Healthcare,2.52,2017-09-01,2025-09-01,103.37,2.9,7.81
BOND0210,FL,AA,Public Safety,5.0,2022-01-01,2029-01-01,102.84,2.76,8.05
BOND0211,FL,AA,Education,2.18,2018-07-01,2037-07-01,99.05,2.17,7.59
BOND0212,TX,AA,Utilities,3.46,2014-01-01,2024-01-01,101.09,1.93,9.25
BOND0213,FL,AA,Education,3.93,2017-01-01,2024-01-01,103.12,2.89,9.03
BOND0214,FL,A,Education,4.41,2010-08-01,2016-08-01,100.3,4.06,7.19
BOND0215,TX,A,Utilities,2.16,2013-11-01,2031-11-01,96.69,4.5,7.56
BOND0216,CA,A,Public Safety,3.89,2022-05-01,2041-05-01,93.78,3.93,9.48
BOND0217,TX,A,Public Safety,5.22,2012-09-01,2027-09-01,104.1,3.58,6.68
BOND0218,CA,AA,Transportation,5.28,2018-07-01,2036-07-01,97.04,3.41,9.86
BOND0219,IL,A,Transportation,2.08,2014-01-01,2031-01-01,90.0,3.59,8.15
BOND0220,TX,AA,Healthcare,2.22,2020-06-01,2027-06-01,104.64,1.57,6.41
BOND0221,IL,AA,Public Safety,2.46,2015-11-01,2026-11-01,101.05,2.0,3.73
BOND0222,CA,AA,Education,3.92,2010-01-01,2018-01-01,91.59,2.02,3.79
BOND0223,NY,AA,Public Safety,5.36,2016-06-01,2033-06-01,97.68,2.59,8.72
BOND0224,CA,AA,Public Safety,5.25,2021-10-01,2030-10-01,102.25,2.42,7.4
BOND0225,TX,A,Healthcare,2.19,2022-08-01,2039-08-01,90.82,4.73,9.15
BOND0226,CA,AA,Utilities,2.24,2022-02-01,2039-02-01,91.04,2.7,9.37
BOND0227,IL,A,Utilities,4.53,2022-01-01,2034-01-01,92.72,4.57,4.67
BOND0228,TX,AA,Healthcare,4.98,2012-05-01,2028-05-01,95.77,2.69,7.92
BOND0229,CA,A,Public Safety,4.51,2021-03-01,2035-03-01,91.84,4.97,9.78
BOND0230,FL,AA,Utilities,3.06,2018-04-01,2029-04-01,94.6,3.43,8.3
BOND0231,TX,AA,Utilities,3.36,2014-06-01,2028-06-01,108.14,1.53,7.1
BOND0232,CA,AA,Public Safety,3.11,2020-07-01,2027-07-01,90.45,2.46,8.13
BOND0233,FL,AA,Healthcare,4.34,2014-04-01,2034-04-01,94.18,2.8,7.43
BOND0234,FL,A,Education,4.32,2017-06-01,2031-06-01,101.95,4.12,10.0
BOND0235,IL,A,Healthcare,2.69,2018-02-01,2027-02-01,96.68,4.55,7.37
BOND0236,TX,A,Utilities,4.77,2012-07-01,2028-07-01,99.7,4.07,5.07
BOND0237,FL,AA,Education,3.56,2017-04-01,2033-04-01,104.75,1.57,7.42
BOND0238,IL,AA,Public Safety,4.03,2021-08-01,2040-08-01,93.27,2.25,4.82
BOND0239,CA,AA,Transportation,5.14,2016-10-01,2034-10-01,101.19,2.52,3.72
BOND0240,TX,AA,Healthcare,2.88,2016-08-01,2033-08-01,95.73,2.94,5.11
BOND0241,FL,AA,Utilities,4.19,2019-07-01,2026-07-01,109.66,2.96,5.56
BOND0242,TX,A,Public Safety,4.25,2017-05-01,2027-05-01,102.59,3.97,4.71
BOND0243,CA,AA,Utilities,2.49,2018-12-01,2026-12-01,94.75,1.59,7.28
BOND0244,CA,A,Public Safety,3.53,2013-04-01,2023-04-01,95.64,3.73,4.99
BOND0245,FL,A,Utilities,4.14,2018-10-01,2035-10-01,94.28,4.95,4.21
BOND0246,IL,AA,Transportation,3.07,2011-08-01,2017-08-01,97.45,3.13,9.06
BOND0247,NY,AA,Transportation,2.16,2022-09-01,2037-09-01,98.91,2.95,3.05
BOND0248,IL,AA,Education,2.25,2010-10-01,2017-10-01,92.56,3.49,9.08
BOND0249,NY,A,Transportation,2.18,2012-01-01,2017-01-01,94.13,4.31,3.66
BOND0250,CA,A,Education,2.09,2013-03-01,2031-03-01,94.04,4.08,9.21
BOND0251,IL,AA,Education,4.57,2018-06-01,2037-06-01,103.9,2.61,7.95
BOND0252,FL,A,Utilities,4.17,2018-05-01,2036-05-01,96.68,3.91,6.42
BOND0253,TX,AA,Education,3.4,2014-04-01,2028-04-01,101.61,2.9,6.64
BOND0254,TX,AA,Public Safety,3.34,2011-06-01,2031-06-01,91.43,3.07,6.21
BOND0255,TX,A,Public Safety,3.36,2012-10-01,2031-10-01,99.08,4.4,5.79
BOND0256,NY,A,Public Safety,3.44,2017-07-01,2032-07-01,98.13,4.14,9.14
BOND0257,IL,A,Healthcare,3.96,2021-07-01,2040-07-01,109.02,4.32,5.54
BOND0258,TX,A,Education,3.35,2014-07-01,2021-07-01,92.89,4.39,6.61
BOND0259,TX,AA,Utilities,4.81,2015-08-01,2023-08-01,93.84,3.45,5.51
BOND0260,NY,A,Healthcare,3.33,2019-08-01,2028-08-01,106.49,4.55,3.21
BOND0261,CA,A,Healthcare,4.54,2016-11-01,2024-11-01,107.17,4.48,6.89
BOND0262,IL,A,Healthcare,4.0,2020-11-01,2028-11-01,108.4,3.56,5.56
BOND0263,FL,A,Transportation,5.3,2015-06-01,2031-06-01,98.27,4.57,7.15
BOND0264,IL,A,Transportation,4.92,2017-06-01,2033-06-01,106.82,4.91,3.68
BOND0265,NY,A,Healthcare,3.61,2011-12-01,2017-12-01,97.43,4.91,5.87
BOND0266,CA,AA,Transportation,3.95,2017-05-01,2022-05-01,92.4,2.33,6.26
BOND0267,FL,AAA,Healthcare,3.34,2016-10-01,2027-10-01,101.95,1.55,4.14
BOND0268,FL,A,Education,3.63,2015-07-01,2027-07-01,94.69,4.53,8.65
BOND0269,TX,A,Transportation,4.44,2021-04-01,2034-04-01,105.28,4.13,7.46
BOND0270,CA,AA,Transportation,4.44,2014-05-01,2033-05-01,96.53,2.56,7.49
BOND0271,FL,AA,Transportation,4.47,2021-12-01,2038-12-01,103.61,2.71,4.75
BOND0272,NY,A,Healthcare,4.2,2017-09-01,2033-09-01,103.46,3.84,7.72
BOND0273,FL,A,Transportation,2.01,2018-10-01,2033-10-01,97.7,4.44,8.84
BOND0274,FL,AA,Healthcare,4.39,2016-01-01,2033-01-01,99.16,2.1,7.44
BOND0275,NY,AA,Utilities,2.22,2012-10-01,2027-10-01,105.86,2.16,6.2
BOND0276,FL,AA,Utilities,3.03,2015-09-01,2032-09-01,90.67,3.34,9.29
BOND0277,NY,AA,Utilities,3.09,2019-06-01,2025-06-01,106.56,2.97,7.23
BOND0278,TX,A,Transportation,2.36,2011-02-01,2031-02-01,103.4,4.59,3.66
BOND0279,CA,AA,Transportation,2.2,2015-08-01,2024-08-01,107.22,2.5,3.77
BOND0280,CA,A,Education,5.16,2016-08-01,2021-08-01,108.51,4.46,8.76
BOND0281,IL,AA,Education,3.07,2018-08-01,2027-08-01,100.8,2.54,9.35
BOND0282,IL,AA,Utilities,2.16,2017-04-01,2030-04-01,94.87,3.38,5.98
BOND0283,IL,A,Public Safety,2.97,2013-06-01,2033-06-01,100.0,3.78,5.2
BOND0284,TX,AA,Transportation,2.25,2020-03-01,2034-03-01,94.27,2.68,6.75
BOND0285,CA,AA,Education,3.86,2017-09-01,2037-09-01,103.99,2.98,4.24
BOND0286,FL,A,Education,2.21,2016-11-01,2023-11-01,108.38,4.38,3.48
BOND0287,FL,AA,Transportation,3.6,2019-10-01,2025-10-01,95.57,2.78,4.52
BOND0288,IL,AA,Public Safety,3.28,2021-12-01,2033-12-01,104.56,2.51,8.65
BOND0289,TX,A,Education,4.03,2011-02-01,2030-02-01,105.94,4.68,5.75
BOND0290,TX,A,Utilities,4.96,2012-01-01,2026-01-01,99.85,4.63,9.8
BOND0291,CA,AA,Education,4.31,2014-02-01,2024-02-01,108.97,2.46,6.81
BOND0292,IL,AA,Healthcare,3.73,2022-01-01,2034-01-01,98.93,1.74,6.62
BOND0293,FL,A,Transportation,3.15,2016-11-01,2030-11-01,106.48,3.86,4.16
BOND0294,TX,AA,Utilities,2.46,2021-08-01,2031-08-01,103.8,2.02,5.81
BOND0295,NY,A,Education,3.5,2012-02-01,2028-02-01,100.7,4.66,8.47
BOND0296,NY,AA,Utilities,3.37,2017-12-01,2034-12-01,98.69,3.16,6.49
BOND0297,TX,AA,Transportation,2.83,2022-03-01,2039-03-01,94.87,1.65,9.88
BOND0298,CA,A,Education,4.15,2017-06-01,2031-06-01,108.57,4.39,5.47
